rank,topic,share,n_docs,top_terms
1,14,0.14185,2837,"tell, call, say, time, phone, ask, money, not, email, number, try, pay"
2,3,0.0962,1924,"debt, collection, owe, company, collect, collection agency, pay, agency, collector, debt collection, collect debt, validation"
3,7,0.09275,1855,"card, credit card, credit, charge, citi, chase, capital, purchase, score, card company, fee, interest"
4,9,0.0746,1492,"payment, late, late payment, pay, month, day late, fee, late fee, day, balance, report late, monthly"
5,17,0.07215,1443,"loan, student, student loan, interest, pay, rate, car, navient, apply, year, interest rate, loan pay"
6,11,0.06725,1345,"information, consumer, reporting, agency, section, credit reporting, reporting agency, provide, fcra, furnisher, act, file"
7,2,0.0668,1336,"account, open, account number, close, account account, open account, account open, balance, account credit, remove, number, belong"
8,8,0.0661,1322,"letter, send, dispute, receive, response, request, send letter, bureau, mail, certify, respond, verify"
9,12,0.06165,1233,"bank, bank america, america, check, fund, deposit, money, chase, bank account, transaction, claim, transfer"
10,0,0.058,1160,"report, credit, credit report, remove, bureau, credit bureau, information, score, experian, inaccurate, report credit, equifax"
11,1,0.0574,1148,"mortgage, escrow, tax, insurance, company, mortgage company, home, property, payment, mortgage payment, refinance, forbearance"
12,10,0.0508,1016,"identity, theft, identity theft, victim, victim identity, fraudulent, police, theft report, fraudulent account, report, report identity, result identity"
13,4,0.03605,721,"inquiry, inquiry credit, hard inquiry, hard, add hard, credit, credit report, authorize, add, report, initiate, inquiry date"
14,16,0.0168,336,"pnc, link, pnc bank, pnc account, link account, allow, link pnc, connect, app, try link, try, account pnc"
15,13,0.01565,313,"item, day, delete, report day, immediately, file litigation, item credit, datum breach, litigation, breach, unknown, delete immediately"
16,15,0.0133,266,"creditor, original creditor, original, successful resolution, stellar payment, stellar, record company, definitely error, payment record, company try, try contact, resolution definitely"
17,6,0.00685,137,"acct open, open balance, acct, account acct, balance account, balance, open, charge, account, request, act, fraudulent"
18,5,0.0058,116,"initiate formal, possible violation, fraudulent, formal, initiate, block, fair, act, possible, violation, fraudulent account, investigation"
